Judul|Pengarang|Favorit
Twilight Poem|MIDNIGHT STUDIO / Kim Suji|1800000
It Was a Mistake, Grand Duke!|joypyonn / Sisse|501552
How to Live as a Lady|Ink. / Sung Heyrim|3200000
The Villain is Trying to Make Me a Stepmom|HARIHEEN / MOKGAMGI|2500000
I Thought My Time Was Up!|Essie / Hyeyong|170483
OTENBA|Dihocchi|1100000
BAD GUY|DOOMS|3400000
Eh, Sorry Kesantet!|aiextradip|1500000
Dulu Gwe(n) Pernah|Sisifafa / Romy Hernadi|21500000
Si Ocong|Agung Gunawan|17900000
+99 Reinforced Wooden Stick|HONGSIL / JIPERY|617130
Desperate to Date|Young Oh / ROH GODRYANG|130837
Stand Up, Mr. President!|Rutheal / Lidowey|1600000
Anak Bapak|A_Catnoda|683033
The Macho Florist|kumtata / Ju hyun hoo|1500000
MUROS|Surya Putra|2600000
New Normal: Class 8|Youngpaka|3700000
Day by Bae|HAAI|1600000
The Holy Idol|studioM / AXA|1200000
The Girl 180|nowone / della|4500000
Just Friends|CL NUNA|20700000
Sickomik|Red Coco|200000
Uga Uga|Henie|6600000
Bang Lambe|Alan|2200000
Brothers and Sisters|Ginyu|2300000
Hantu +62|Meidito Dian|500000
Terlalu Tampan|Mas Okis / S.M.S|11800000
House Daddy|HAAI|2300000
Minus|Egimugia|1500000
Psychic Studies|Eun Hyuck Park|754299
ART/STROKE|M.M|547731
Jangan Baca Webtoon Ini!|Mas Okis / Rea|2800000
Gentle HIPster|Henie|1800000
Ayam Goreng|PJD|621360
Trio Koplak|Siakae|325777
Terlalu Cantik|Mas Okis / Mas Hiro|7900000
Kutu Webtoon|Hasnaul Ikhtarosa|938091
Prince of Prince|JAEAH / SE|1600000
Romance Punch|Galang Larope|2400000
No Homo|Apitnobaka|461350
Brotherhood|GIMS|1200000
Potato Town|PJD|380895
SENGKLEK FAMILY|Julian Syahputra|376012
Tahilalats|Tahilalats Team|38200000
The Girls are Monster|Kyriepoda|531210
Family Over Flowers|SANGSIN / JOONGROK|2500000
A Simple Thinking About Bloodtype|Dongsun Park|2300000
Lazy Dogs|Hong-kki|2900000
Si Juki: LIKA LIKU ANAK KOS|Faza Meonk|1400000
Kecoa dan Dendam|Renato Adhitama|5100000
Nostalgia Ramadhan Si Juki Kecil Season2|Faza Meonk|373653
Si Udin|NIKSEN|8100000
Soekirman|YOGADANU / ZAINUL MOZA|1100000
Soekirman: Ramadhan di Kampung Halaman|YOGADANU / ZAINUL MOZA|170236
10th Dimension Boys|Cutbu|884417
Piraku x Piraku|Sweta Kartika|242200
GHOSTY's COMIC|GHOSTYCORP|4600000
Komik Faktap|Tim Komik Faktap|4800000
Si Juki : Kisah Kusut Dunia Dongeng|Faza Meonk|100000
Just for Flat Jokes|Mind C|442442
Nostalgia Ramadhan Si Juki Kecil|Faza Meonk|424154
Twin Connect|tiansenou|300000
Kang Paket Ganteng|piio keii|163980
My Three Annoying Brothers|olive-yu|3300000
DjINN|Aland B. / DRD|443697
Oh My Boy!|Kanipa|3400000
Take My Money|AlohaDRY|3300000
Sepulang Sekolah|KOI & JUI / Dhan Akhir|4200000
Masdimboy|Adimas Bayu|1700000
LOOKISM|Taejoon Park|51800000
Kembalinya Iblis ke Sekolah|Siwon / Team the JICK|11809
High School Soldier|YC / rak hyun|8500000
WEAK HERO|SeoPass​ / RAZEN|13500000
How to Fight|Taejoon Park / Kim Junghyun|12400000
Mr. Baek|Punch Kick / Haetae|155637
Ticket Hero|RYU|3700000
Eleceed|ZHENA / Jeho Son|8100000
Designated Bully|GRIMZO|100000
Manajer Kim|Jeongjongtaek / PTJ cartoon company Academy|2500000
Study Group|Hyungwuk Shin / Seungyeon Ryu|12300000
Tower of God|SIU|26300000
The Strongest Outcast|team ggulbal|39790
Reality Quest|Joowoon Lee / Taesung|100000
Daddy Goes to School|KIM JAE HAN|4200000
HECTOPASCAL|gil seonggeun / buffering|251209
Top Corner|Yoon-Sung / LaGoon|2100000
Money and the Power|Dongwoo Han / Dohee Lee|7400000
Bully Conquest|HON|141563
The Esper’s Game|Plan A / Two-zero|313413
King Game|killer whale / Hyungwuk Shin|235564
Ranker's Return|zuno / B-ram|344274
Fight Hard|38|689252
The Gamer|Sangyoung Seong / Sang-A|9800000
I Became the Tyrant of a Defense Game|Gyong / Ha Jung|51986
Spirit Hunter|Yoon Hyun-seung / Bang Seung-hyun|1100000
Kill the Dragon|Miss Jisu / J-Sun(REDICE STUDIO)|228098
Attention Seeker|Woong|310620
